Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C133,"CAP0603,1608",4329.187mil,4566.141mil,4329.187mil,4566.141mil,4329.187mil,4532.086mil,B,90.00,100nF
C233,"CAP0603,1608",9132.337mil,4566.141mil,9132.337mil,4566.141mil,9132.337mil,4532.086mil,B,90.00,100nF
C333,"CAP0603,1608",4329.187mil,10392.913mil,4329.187mil,10392.913mil,4329.187mil,10358.858mil,B,90.00,100nF
C433,"CAP0603,1608",9132.337mil,10392.913mil,9132.337mil,10392.913mil,9132.337mil,10358.858mil,B,90.00,100nF
C132,C100UF,4532.520mil,4746.141mil,4582.520mil,4746.141mil,4582.520mil,4746.141mil,T,180.00,100uF 25v
C232,C100UF,9335.670mil,4746.141mil,9385.670mil,4746.141mil,9385.670mil,4746.141mil,T,180.00,100uF 25v
C332,C100UF,4532.520mil,10572.913mil,4582.520mil,10572.913mil,4582.520mil,10572.913mil,T,180.00,100uF 25v
C432,C100UF,9335.670mil,10572.913mil,9385.670mil,10572.913mil,9385.670mil,10572.913mil,T,180.00,100uF 25v
C131,"CAP0603,1608",4455.853mil,4566.141mil,4455.853mil,4566.141mil,4455.853mil,4532.086mil,B,90.00,100nF
C231,"CAP0603,1608",9259.003mil,4566.141mil,9259.003mil,4566.141mil,9259.003mil,4532.086mil,B,90.00,100nF
C331,"CAP0603,1608",4455.853mil,10392.913mil,4455.853mil,10392.913mil,4455.853mil,10358.858mil,B,90.00,100nF
C431,"CAP0603,1608",9259.003mil,10392.913mil,9259.003mil,10392.913mil,9259.003mil,10358.858mil,B,90.00,100nF
C130,"CAP0603,1608",4582.520mil,4566.141mil,4582.520mil,4566.141mil,4582.520mil,4532.086mil,B,90.00,100nF
C230,"CAP0603,1608",9385.670mil,4566.141mil,9385.670mil,4566.141mil,9385.670mil,4532.086mil,B,90.00,100nF
C330,"CAP0603,1608",4582.520mil,10392.913mil,4582.520mil,10392.913mil,4582.520mil,10358.858mil,B,90.00,100nF
C430,"CAP0603,1608",9385.670mil,10392.913mil,9385.670mil,10392.913mil,9385.670mil,10358.858mil,B,90.00,100nF
C129,"CAP0603,1608",482.520mil,2106.141mil,482.520mil,2106.141mil,482.520mil,2140.196mil,B,270.00,100nF
C229,"CAP0603,1608",5285.670mil,2106.141mil,5285.670mil,2106.141mil,5285.670mil,2140.196mil,B,270.00,100nF
C329,"CAP0603,1608",482.520mil,7932.913mil,482.520mil,7932.913mil,482.520mil,7966.968mil,B,270.00,100nF
C429,"CAP0603,1608",5285.670mil,7932.913mil,5285.670mil,7932.913mil,5285.670mil,7966.968mil,B,270.00,100nF
C128,"CAP0603,1608",355.853mil,2106.141mil,355.853mil,2106.141mil,355.853mil,2140.196mil,B,270.00,100nF
C228,"CAP0603,1608",5159.003mil,2106.141mil,5159.003mil,2106.141mil,5159.003mil,2140.196mil,B,270.00,100nF
C328,"CAP0603,1608",355.853mil,7932.913mil,355.853mil,7932.913mil,355.853mil,7966.968mil,B,270.00,100nF
C428,"CAP0603,1608",5159.003mil,7932.913mil,5159.003mil,7932.913mil,5159.003mil,7966.968mil,B,270.00,100nF
C127,"CAP0603,1608",229.187mil,2106.141mil,229.187mil,2106.141mil,229.187mil,2072.086mil,B,90.00,100nF
C227,"CAP0603,1608",5032.337mil,2106.141mil,5032.337mil,2106.141mil,5032.337mil,2072.086mil,B,90.00,100nF
C327,"CAP0603,1608",229.187mil,7932.913mil,229.187mil,7932.913mil,229.187mil,7898.858mil,B,90.00,100nF
C427,"CAP0603,1608",5032.337mil,7932.913mil,5032.337mil,7932.913mil,5032.337mil,7898.858mil,B,90.00,100nF
C126,"CAP0603,1608",102.520mil,2106.141mil,102.520mil,2106.141mil,102.520mil,2072.086mil,B,90.00,100nF
C226,"CAP0603,1608",4905.670mil,2106.141mil,4905.670mil,2106.141mil,4905.670mil,2072.086mil,B,90.00,100nF
C326,"CAP0603,1608",102.520mil,7932.913mil,102.520mil,7932.913mil,102.520mil,7898.858mil,B,90.00,100nF
C426,"CAP0603,1608",4905.670mil,7932.913mil,4905.670mil,7932.913mil,4905.670mil,7898.858mil,B,90.00,100nF
C125,C100UF,152.520mil,1946.141mil,202.520mil,1946.141mil,202.520mil,1946.141mil,T,180.00,100uF 25v
C225,C100UF,4955.670mil,1946.141mil,5005.670mil,1946.141mil,5005.670mil,1946.141mil,T,180.00,100uF 25v
C325,C100UF,152.520mil,7772.913mil,202.520mil,7772.913mil,202.520mil,7772.913mil,T,180.00,100uF 25v
C425,C100UF,4955.670mil,7772.913mil,5005.670mil,7772.913mil,5005.670mil,7772.913mil,T,180.00,100uF 25v
R142,RES1206-3216,2762.520mil,1766.141mil,2762.520mil,1766.141mil,2762.520mil,1699.212mil,B,90.00,100K
R242,RES1206-3216,7565.670mil,1766.141mil,7565.670mil,1766.141mil,7565.670mil,1699.212mil,B,90.00,100K
R342,RES1206-3216,2762.520mil,7592.913mil,2762.520mil,7592.913mil,2762.520mil,7525.984mil,B,90.00,100K
R442,RES1206-3216,7565.670mil,7592.913mil,7565.670mil,7592.913mil,7565.670mil,7525.984mil,B,90.00,100K
R136,RES1206-3216,1922.520mil,1766.141mil,1922.520mil,1766.141mil,1922.520mil,1699.212mil,B,90.00,100K
R236,RES1206-3216,6725.670mil,1766.141mil,6725.670mil,1766.141mil,6725.670mil,1699.212mil,B,90.00,100K
R336,RES1206-3216,1922.520mil,7592.913mil,1922.520mil,7592.913mil,1922.520mil,7525.984mil,B,90.00,100K
R436,RES1206-3216,6725.670mil,7592.913mil,6725.670mil,7592.913mil,6725.670mil,7525.984mil,B,90.00,100K
